tempo,swing,density,dynamic_range,energy,mean_note_length,std_note_length,velocity_mean,velocity_std,pitch_mean,pitch_range,avg_polyphony,syncopation,onset_entropy,instrument_count,mood,timing_feel,rhythmic_density,dynamic_intensity,fill_activity,fx_character,timestamp
140.0001,0.1148,5.7604,0,3.2739,1.1392,1.1809,100.0000,0.0000,74.2152,52,4.9810,0.0472,1.6392,1,gritty,0,2,8,7,6,2025-06-27T22:26:41.454850
150.0000,0.1187,5.0000,0,2.8937,1.0141,0.8212,100.0000,0.0000,61.0938,29,3.2656,0.1263,1.3766,1,gritty,0,2,8,7,6,2025-06-27T22:26:48.238810
150.0000,0.1048,4.8438,0,2.8156,0.2129,0.0793,100.0000,0.0000,63.1613,21,1.2258,0.0702,1.7661,1,gritty,0,2,8,7,6,2025-06-27T22:26:49.451153
150.0000,0.1263,5.9375,0,3.3625,0.9105,0.6427,100.0000,0.0000,78.1579,31,3.2237,0.0559,1.5590,1,gritty,0,2,8,7,6,2025-06-27T22:26:50.463361
145.0000,0.0993,3.1719,0,1.9796,1.8522,0.8719,100.0000,0.0000,65.4286,31,3.7857,0.2424,1.5496,1,gritty,0,2,8,7,6,2025-06-27T22:26:51.480448
140.0001,0.1148,5.7604,0,3.2739,1.1392,1.1809,100.0000,0.0000,74.2152,52,4.9810,0.0472,1.6392,1,gritty,0,2,8,7,6,2025-06-27T22:26:57.136450
150.0000,0.1187,5.0000,0,2.8937,1.0141,0.8212,100.0000,0.0000,61.0938,29,3.2656,0.1263,1.3766,1,gritty,0,2,8,7,6,2025-06-27T22:26:58.854322
150.0000,0.1048,4.8438,0,2.8156,0.2129,0.0793,100.0000,0.0000,63.1613,21,1.2258,0.0702,1.7661,1,gritty,0,2,8,7,6,2025-06-27T22:26:59.785415
150.0000,0.1263,5.9375,0,3.3625,0.9105,0.6427,100.0000,0.0000,78.1579,31,3.2237,0.0559,1.5590,1,gritty,0,2,8,7,6,2025-06-27T22:27:00.720990
145.0000,0.0993,3.1719,0,1.9796,1.8522,0.8719,100.0000,0.0000,65.4286,31,3.7857,0.2424,1.5496,1,gritty,0,2,8,7,6,2025-06-27T22:27:01.647613
140.0001,0.1148,5.7604,0,3.2739,1.1392,1.1809,100.0000,0.0000,74.2152,52,4.9810,0.0472,1.6392,1,gritty,0,2,8,7,6,2025-06-27T22:27:05.776900
150.0000,0.1187,5.0000,0,2.8937,1.0141,0.8212,100.0000,0.0000,61.0938,29,3.2656,0.1263,1.3766,1,gritty,0,2,8,7,6,2025-06-27T22:27:07.487873
150.0000,0.1048,4.8438,0,2.8156,0.2129,0.0793,100.0000,0.0000,63.1613,21,1.2258,0.0702,1.7661,1,gritty,0,2,8,7,6,2025-06-27T22:27:10.181610
150.0000,0.1263,5.9375,0,3.3625,0.9105,0.6427,100.0000,0.0000,78.1579,31,3.2237,0.0559,1.5590,1,gritty,0,2,8,7,6,2025-06-27T22:27:11.457985
145.0000,0.0993,3.1719,0,1.9796,1.8522,0.8719,100.0000,0.0000,65.4286,31,3.7857,0.2424,1.5496,1,gritty,0,2,8,7,6,2025-06-27T22:27:12.686267
140.0001,0.1148,5.7604,0,3.2739,1.1392,1.1809,100.0000,0.0000,74.2152,52,4.9810,0.0472,1.6392,1,uplifting,1,2,3,4,3,2025-06-30T18:09:57.202977
150.0000,0.1187,5.0000,0,2.8937,1.0141,0.8212,100.0000,0.0000,61.0938,29,3.2656,0.1263,1.3766,1,uplifting,1,2,3,4,3,2025-06-30T18:11:24.600880
150.0000,0.1048,4.8438,0,2.8156,0.2129,0.0793,100.0000,0.0000,63.1613,21,1.2258,0.0702,1.7661,1,focused,0,1,6,1,9,2025-06-30T18:15:47.354412
150.0000,0.1263,5.9375,0,3.3625,0.9105,0.6427,100.0000,0.0000,78.1579,31,3.2237,0.0559,1.5590,1,suspenseful,1,1,5,3,2,2025-06-30T18:17:09.966873
114.0013,0.1256,34.7940,126,17.7000,0.2586,0.4138,76.9633,26.4162,57.5108,65,9.1967,0.0024,0.7771,15,uplifting,1,2,3,4,3,2025-06-30T18:18:02.140595
145.0000,0.0993,3.1719,0,1.9796,1.8522,0.8719,100.0000,0.0000,65.4286,31,3.7857,0.2424,1.5496,1,chill,2,0,0,0,0,2025-06-30T18:21:41.848716
94.0001,0.1245,45.9092,126,23.2159,0.1762,0.4128,66.3638,29.6313,54.4743,63,8.9992,0.0021,0.8021,24,romantic,2,1,1,2,5,2025-06-30T18:21:47.620514
200.0000,0.1248,37.2435,63,19.0367,0.1952,0.2168,105.3905,12.0925,65.2029,70,6.6022,0.0031,0.6418,26,ominous,0,1,4,0,4,2025-06-30T18:22:00.037314
