tempo,swing,density,dynamic_range,energy,mean_note_length,std_note_length,velocity_mean,velocity_std,pitch_mean,pitch_range,avg_polyphony,syncopation,onset_entropy,instrument_count,mood,timing_feel,rhythmic_density,dynamic_intensity,fill_activity,fx_character,timestamp
126.0001,0.5009,19.1159,82.0000,7.4410,0.2255,0.2478,94.1486,20.3614,62.3922,53,5.1707,0.0154,0.6206,10,chill,1,3,0,6,0,2025-07-02T21:31:28.680364
109.5167,0.0884,14.4172,117.0000,6.6590,0.2084,0.8545,93.8228,23.7183,70.0618,80,2.1064,0.0184,0.1436,4,chill,1,3,0,6,0,2025-07-02T21:31:28.863902
140.0001,0.0323,20.1914,124.0000,7.4238,0.2706,0.4648,29.9242,46.2750,52.5379,35,5.2509,0.0067,1.0276,3,chill,1,3,0,6,0,2025-07-02T21:31:28.894191
72.7907,0.0325,15.4110,110.0000,7.1257,0.5160,0.7213,83.2292,16.9192,57.5252,60,8.0163,0.0209,0.3569,15,chill,1,3,0,6,0,2025-07-02T21:31:29.119582
122.0008,0.0694,26.1692,117.0000,9.7234,0.3118,0.6915,99.5097,28.1278,50.0645,40,8.7789,0.0054,0.6638,5,chill,1,3,0,6,0,2025-07-02T21:31:29.172004
168.9998,0.0626,25.6328,27.0000,8.6229,0.2705,0.5707,126.9036,1.1548,49.8843,70,6.7528,0.0053,0.6660,9,chill,1,3,0,6,0,2025-07-02T21:31:29.417276
83.4448,0.0015,16.8031,111.0000,7.2718,0.3145,0.5620,78.4585,22.5152,56.1555,60,6.8017,0.0147,0.6637,6,chill,1,3,0,6,0,2025-07-02T21:31:29.539875
140.0001,0.0725,11.8754,0.0000,4.7779,0.2673,1.0059,99.0000,0.0000,58.4578,51,3.2760,0.0121,0.6259,5,chill,1,3,0,6,0,2025-07-02T21:31:29.578363
132.6494,0.0029,36.4095,126.0000,11.9659,0.2248,0.4703,103.8033,24.0354,56.2903,62,7.9957,0.0033,0.2720,16,chill,0,3,0,6,0,2025-07-02T21:31:29.891773
132.9999,0.0075,36.9784,110.0000,11.5376,0.1965,0.7156,77.0911,27.2114,60.5925,75,7.8470,0.0023,0.6555,18,chill,0,3,0,6,0,2025-07-02T21:31:30.144726
137.9999,0.0645,2.3000,0.0000,2.5672,0.2129,0.0000,99.0000,0.0000,48.2353,36,0.6618,0.1607,1.2905,2,chill,1,1,0,6,0,2025-07-02T21:31:30.168987
